time,COMPEMNT,,
6.9,7.60662,54.10662,54.10662
6.91,7.77217,54.27217,54.27217
6.92,7.77217,54.27217,54.27217
6.93,7.77217,54.27217,54.27217
6.94,7.77217,54.27217,54.27217
6.95,7.77217,54.27217,54.27217
6.96,7.77217,54.27217,54.27217
6.97,7.86247,54.36247,54.36247
6.98,7.86247,54.36247,54.36247
6.99,7.86247,54.36247,54.36247
7,7.86247,54.36247,54.36247
7.01,7.86247,54.36247,54.36247
7.02,7.86247,54.36247,54.36247
7.03,7.95705,54.45705,54.45705
7.04,7.95705,54.45705,54.45705
7.05,7.95705,54.45705,54.45705
7.06,7.95705,54.45705,54.45705
7.07,7.95705,54.45705,54.45705
7.08,7.97216,54.47216,54.47216
7.09,7.97216,54.47216,54.47216
7.1,7.97216,54.47216,54.47216
7.11,7.97216,54.47216,54.47216
7.12,7.97216,54.47216,54.47216
7.13,8.21544,54.71544,54.71544
7.14,8.21544,54.71544,54.71544
7.15,8.21544,54.71544,54.71544
7.16,8.21544,54.71544,54.71544
7.17,8.21544,54.71544,54.71544
7.18,8.21544,54.71544,54.71544
7.19,8.08304,54.58304,54.58304
7.2,8.08304,54.58304,54.58304
7.21,8.08304,54.58304,54.58304
7.22,8.08304,54.58304,54.58304
7.23,8.08304,54.58304,54.58304
7.24,8.08304,54.58304,54.58304
7.25,8.16521,54.66521,54.66521
7.26,8.16521,54.66521,54.66521
7.27,8.16521,54.66521,54.66521
7.28,8.16521,54.66521,54.66521
7.29,8.16521,54.66521,54.66521
7.3,8.16521,54.66521,54.66521
7.31,8.11453,54.61453,54.61453
7.32,8.11453,54.61453,54.61453
7.33,8.11453,54.61453,54.61453
7.34,8.11453,54.61453,54.61453
